Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					checksum_type		str	1..1	The digest method used to create the checksum. The value (e.g. `sha-256`) SHOULD be listed as `Hash Name String` in the https://www.iana.org/assignments/named-information/named-information.xhtml#hash-alg [IANA Named Information Hash Algorithm Registry]. Other values MAY be used, as long as implementors are aware of the issues discussed in https://tools.ietf.org/html/rfc6920#section-9.4 [RFC6920]. GA4GH may provide more explicit guidance for use of non-IANA-registered algorithms in the future. Until then, if implementors do choose such an algorithm (e.g. because it's implemented by their storage provider), they SHOULD use an existing standard `type` value such as `md5`, `etag`, `crc32c`, `trunc512`, or `sha1`.	https://w3id.org/fga-wg/schema/checksum/checksum_type
Contact		Contact	Contact information for a person or an organisation.							
					name		str	1..1	Name of the person or organisation.	https://w3id.org/fga-wg/schema/contact/name
					contact_id		Curie	0..1	Globally unique identifier for a person (e.g. ORCID ID) or organisation (e.g. BioProject accession).	https://w3id.org/fga-wg/schema/contact/contact_id
					email		str	0..1	E-mail address of the person or organisation.	https://w3id.org/fga-wg/schema/contact/email
Deposit		Deposit	Information about a public deposit of a document containing metadata about a set of genome annotation files.							
					deposit_id		Curie	0..1	A globally unique and persistent identifier for the public deposit of the metadata document. A DOI or other persistent identifier is recommended.	https://w3id.org/fga-wg/schema/deposit/deposit_id
				I	deposit_versioned_id		Curie	1..1	A globally unique, persistent and versioned identifier for the public deposit of the metadata document. A versioned DOI to a deposited document is recommended.	https://w3id.org/fga-wg/schema/deposit/deposit_versioned_id
					deposit_first_created		XSDDateTime	1..1	The date and time of the creation of the first deposited version of the metadata document.	https://w3id.org/fga-wg/schema/deposit/deposit_first_created
					deposit_last_changed		XSDDateTime	1..1	"The date and time of the last deposited change of the current metadata document (corresponding to ""deposit_versioned_id"")."	https://w3id.org/fga-wg/schema/deposit/deposit_last_changed
Donor		Donor	Information about the donor or complete organism from which the sample was taken.							
					donor_external_id		Curie	0..1	External, globally unique identifier for the donor/organism.	https://w3id.org/fga-wg/schema/donor/donor_external_id
				I	donor_id		Curie	1..1	Internal identifier for the donor/organism (unique within the metadata deposit). 	https://w3id.org/fga-wg/schema/donor/donor_id
					species_taxon		Term	1..1	Taxonomical classification of the species of the donor/organism.	https://w3id.org/fga-wg/schema/donor/species_taxon
					sex		Term	0..1	Biological sex of the donor/organism.	https://w3id.org/fga-wg/schema/donor/sex
Experiment		Experiment	Represents a sequencing experiment that has been carried out within a study, based on biological samples, and providing data files as output. Subsequent analysis of output data is described by the Analysis entity.							
					experiment_external_id		Curie	0..1	External, globally unique identifier for the experiment.	https://w3id.org/fga-wg/schema/experiment/experiment_external_id
				I	experiment_id		Curie	1..1	Internal identifier for the experiment (unique within the metadata deposit).	https://w3id.org/fga-wg/schema/experiment/experiment_id
					experiment_label		str	1..1	A human-readable description of the experiment, short enough to be used for listings within software user interfaces, tables, illustration legends, etc.	https://w3id.org/fga-wg/schema/experiment/experiment_label
					experiment_study_ref		Curie	1..1	Internal reference to the study within which the experiment has been carried out.	https://w3id.org/fga-wg/schema/experiment/experiment_study_ref
					experiment_samples		InputSource	1..*	External or internal references to samples used in the experiment. Internal references should refer to Sample objects.	https://w3id.org/fga-wg/schema/experiment/experiment_samples
					molecule_type		Term	1..1	Specifies the type of source material that is being sequenced.	https://w3id.org/fga-wg/schema/experiment/molecule_type
					assay_type		Term	1..1	Sequencing technique intended for this library.	https://w3id.org/fga-wg/schema/experiment/assay_type
					design_description		str	0..1	The high-level experiment design including layout, protocol.	https://w3id.org/fga-wg/schema/experiment/design_description
					library_layout		Term	0..1	Whether the library was built as paired-end, or single-end.	https://w3id.org/fga-wg/schema/experiment/library_layout
					instrument		Term	0..1	Technology platform used to perform nucleic acid sequencing, including name and/or number associated with a specific sequencing instrument model. It is recommended to be as specific as possible for this property (e.g. if the model/revision are available, providing that instead of just the instrument maker).	https://w3id.org/fga-wg/schema/experiment/instrument
					sequencing_protocol		URIorCURIE	0..1	Set of rules which guides how the sequencing protocol was followed. Change-tracking services such as Protocol.io or GitHub are encouraged instead of dumping free text in this field.	https://w3id.org/fga-wg/schema/experiment/sequencing_protocol
					antibody_target		Term	0..1	The target of the antibody used in the experiment.	https://w3id.org/fga-wg/schema/experiment/antibody_target
					biological_processes		Term	0..*	Biological processes illuminated by the experiment.	https://w3id.org/fga-wg/schema/experiment/biological_processes
File		File	General information about a particular data file. Most fields (marked with an asterix*) are copied from the GA4GH DRS DrsObject model (https://ga4gh.github.io/data-repository-service-schemas/preview/release/drs-1.4.0/docs/#tag/DrsObjectModel), which is the top-level object returned from a DRS server in response to a successful lookup call (i.e. https://ga4gh.github.io/data-repository-service-schemas/preview/release/drs-1.4.0/docs/#tag/Objects).							
					file_external_id		Curie	0..1	External, globally unique identifier for the data file.	https://w3id.org/fga-wg/schema/file/file_external_id
				I	file_id		Curie	1..1	Internal identifier for the data file (unique within the metadata deposit). 	https://w3id.org/fga-wg/schema/file/file_id
					file_name		str	0..1	A string that can be used to name a data file. This string is made up of uppercase and lowercase letters, decimal digits, hypen, period, and underscore [A-Za-z0-9.-_]. See http://pubs.opengroup.org/onlinepubs/9699919799/basedefs/V1_chap03.html#tag_03_282 [portable filenames].	https://w3id.org/fga-wg/schema/file/file_name
					file_label		str	1..1	A human-readable description of the data file, short enough to be used for listings within software user interfaces, tables, illustration legends, etc.	https://w3id.org/fga-wg/schema/file/file_label
					file_description		str	0..1	A human readable description of the data file.	https://w3id.org/fga-wg/schema/file/file_description
					filecollection_refs		Curie	1..*	Internal references to the FileCollection objects (within the deposit) that contains the data file, if any.	https://w3id.org/fga-wg/schema/file/filecollection_refs
					file_input_sources		InputSource	1..*	External or internal references to data sources for the file, typically a data collection or a process that has generated the file. Internal references should lead to FileCollection, File, Experiment, or Analysis objects.	https://w3id.org/fga-wg/schema/file/file_input_sources
					drs_uri		URI	0..1	A drs:// hostname-based URI, as defined in the DRS documentation, that tells clients how to access this object. The intent of this field is to make DRS objects self-contained, and therefore easier for clients to store and pass around. For example, if you arrive at this DRS JSON by resolving a compact identifier-based DRS URI, the self_uri presents you with a hostname and properly encoded DRS ID for use in subsequent access endpoint calls.	https://w3id.org/fga-wg/schema/file/drs_uri
					access_methods		AccessMethod	1..*	The list of access methods that can be used to fetch the data file. 	https://w3id.org/fga-wg/schema/file/access_methods
					run_provenance		URIorCURIE	0..1	Document detailing the provenance of the experiment or analysis run which produced the file as one of its outputs. The provenance info should include software versions, parameter settings, etc.	https://w3id.org/fga-wg/schema/file/run_provenance
					quality_assessments		QualityAssessment	0..*	An array of QualityAssessment objects containing the main quality scores from assessment techniques applied to the data file.	https://w3id.org/fga-wg/schema/file/quality_assessments
					file_type		Term	1..1	The file format of the data file.	https://w3id.org/fga-wg/schema/file/file_type
					mime_type		str	0..1	A string providing the mime-type of the data file.	https://w3id.org/fga-wg/schema/file/mime_type
					data_content		OutputType	1..1	Classification describing the file's purpose or contents.	https://w3id.org/fga-wg/schema/file/data_content
					file_size		int	1..1	The file size in bytes.	https://w3id.org/fga-wg/schema/file/file_size
					created_time		XSDDateTime	1..1	Timestamp of content creation in RFC3339. (This is the creation time of the underlying content, not of the JSON object.).	https://w3id.org/fga-wg/schema/file/created_time
					updated_time		XSDDateTime	0..1	Timestamp of content update in RFC3339, identical to created_time in systems that do not support updates. (This is the update time of the underlying content, not of the JSON object.).	https://w3id.org/fga-wg/schema/file/updated_time
